Algorithm,Maze Size,Execution Time,Steps Taken,Memory Usage,Nodes Expanded,Max Frontier Size
DFS,15x15,5.259798765182495,81,0.015344619750976562,85,8
BFS,15x15,6.1063055992126465,81,0.015228271484375,111,3
ASTAR,15x15,5.522581577301025,81,0.04738616943359375,98,3
POLICY,15x15,2.6041605472564697,81,0.025537490844726562,0,0
VALUE,15x15,2.559340000152588,81,0.02800464630126953,0,0
